Title,Genre,G_news,Vader,Polar,Subject,IMDB
Manmarziyaan,6,0.45,0.31,0.21,0.41,6.9
Love Sonia,4,0.75,0.48,0.31,0.49,7.4
Turning Point,11,0.4,0.05,0.05,0.32,6.6
Kathor,4,0.55,0.09,0,0.17,6.4
22 Days,5,0.5,0.03,0.05,0.29,4.6
Mitron,3,0.5,0.17,0.18,0.36,7
Batti Gul Meter Chalu,4,0.5,0.03,0.04,0.27,6.3
Manto,6,0.6,0.05,0.12,0.3,7.4
Ishqeria,3,0.6,0,0,0,4.6
Sui Dhaaga,3,0.6,0.21,0.02,0.44,6.8
Pataakha,2,0.55,0.38,0.15,0.27,7.2
Andhadhun,6,0.6,0.23,0.2,0.35,8.4
Jalebi,4,0.6,0.14,0.17,0.29,6.3
Helicopter Eela,4,0.5,-0.03,-0.13,0.23,5.4
Maal road dilli,3,0.5,0,0,0,6.2
FryDay,3,0.6,0.25,0.18,0.38,5.7
Tumbbad,4,0.55,0.15,0.11,0.25,8.3
Namaste England,3,0.55,0.06,0.03,0.24,1.6
Badhaai Ho,3,0.55,0.35,0.19,0.42,8
Baazaar,6,0.4,0.52,0.33,0.4,6.6
5 Weddings,3,0.6,0.34,0.17,0.42,3.2
Kaashi in Search of Ganga,5,0.55,0,0,0,6.8
Dassehra,2,0.45,0.38,-0.06,0.22,4.1
The Journey of Karma,4,0.55,0.2,0.13,0.36,6.5
Lupt,7,0.45,0.05,0.17,0.49,6.7
Jack and Dil,3,0.5,0,0,0.06,5.8
Thugs of Hindostan,2,0.5,0.03,0.04,0.28,4
Mohalla Assi,3,0.5,0,0,0,7
Pihu,4,0.35,0.12,0.13,0.42,6.7
Hotel Milan,3,0.55,0.23,0.15,0.38,3.7
Bhaiaji Superhit,2,0.45,0,0,0,4.3
Rajma Chawal,3,0.5,0.2,0.19,0.4,5.7
Kedarnath,4,0.4,-0.06,0.12,0.39,6
PK Lele A Salesman,3,0.55,0,0,0,5.4
Zero,3,0.55,0.08,0.03,0.34,5.7
Simmba,2,0.55,0.2,0.14,0.35,6.3
Uri: The Surgical Strike,2,0.55,0.09,0.14,0.27,8.6
Battalion 609,6,0.55,0,0.35,0.55,4.6
The Accidental Prime Minister,6,0.5,0.12,0.13,0.25,6.2
Why Cheat India,6,0.4,-0.22,0.07,0.3,6.2
Fraud Saiyaan,3,0.25,-0.74,0,0,4.2
Soni,4,0.5,0.07,0.1,0.27,7.2
72 Hours: Martyr Who Never Died,2,0.6,0,0,0,5.6
Bombairiya,3,0.4,0.21,0.7,0.85,4.4
Rangeela Raja,3,0.45,0,0.03,0.13,3.2
The Lift Boy,3,0.55,0.12,0.05,0.33,7.6
Thackeray,6,0.5,0.16,0.09,0.23,5.2
Manikarnika: The Queen of Jhansi,2,0.6,0.02,0.14,0.3,6.6
Ek Ladki Ko Dekha Toh Aisa Laga,3,0.65,0.22,0.11,0.46,5.5
The Fakir of Venice,4,0.5,-0.08,0.19,0.52,5.2
Amavas,7,0.45,0.13,0.03,0.31,3.4
Gully Boy,4,0.55,0.12,0.07,0.3,8.3
Hum Chaar,4,0.6,-0.04,-0.03,0.42,7.2
Total Dhamaal,2,0.55,0.2,0.06,0.56,4.4
Luka Chuppi,3,0.5,0.18,0.16,0.39,6.4
Sonchiriya,2,0.5,0.04,0.16,0.53,7.5
Badla,6,0.5,0.19,0.12,0.32,8.1
Hamid,4,0.4,0.16,0.11,0.39,7.8
Photograph,4,0.55,0.11,0.12,0.32,6.9
Milan Talkies,4,0.65,0.23,0.01,0.2,4.7
Mere Pyare Prime Minister,4,0.5,-0.01,-0.05,0.63,6.8
Kesari,2,0.45,-0.07,-0.18,0.61,7.6
Mard Ko Dard Nahi Hota,2,0.55,0.3,0.22,0.43,7.5
Notebook,4,0.5,0.12,0.08,0.26,7.9
Junglee,2,0.5,0.13,0.08,0.26,5.6
Romeo Akbar Walter,2,0.55,0.13,0.08,0.38,6.7
Kalank,4,0.35,0.13,0.11,0.38,3.6
Blank,2,0.5,0.08,0.07,0.18,7.5
Student of the Year 2,3,0.55,0.11,0.11,0.33,2.1
De De Pyaar De,3,0.55,0.14,0.2,0.29,7
Indias Most Wanted,2,0.45,0.03,0.36,0.49,3.5
Bharat,2,0.5,0.03,0.04,0.34,5.9
Kabir Singh,2,0.6,0.22,0.15,0.34,7.8
